test_location,study,part_id,cond,coding_missing,lang_group,study_dom,lang_mix_score,child_dom_lang,lang_per_en,lang_per_fr,lang_per_sp,lang_per_ot,lang_name_ot,lang_per_dom,lang_per_ndom,gender,age_days,meanLT_log,sdLT_log,meanLT,sdLT,N
Montreal,2,P60,single,NA,bilingual,dominant,14,English,56,45,NA,0,NA,56,45,female,301,2.19829523152021,0.6167318503840488,10.366,5.680425160144265,5
Montreal,2,P60,switched,NA,bilingual,dominant,14,English,56,45,NA,0,NA,56,45,female,301,2.196746828153883,0.5902662069320488,10.455,6.4699698608262475,6
Montreal,1,P61,single,NA,bilingual,dominant,16,French,35,66,NA,0,NA,66,35,female,264,2.7034016258671945,0.48478601427520807,16.07875,4.7600133178085,8
Montreal,1,P61,switched,NA,bilingual,dominant,16,French,35,66,NA,0,NA,66,35,female,264,2.3231540809391293,0.5006424908589092,11.335,5.349862481543669,8
Montreal,2,P61,single,NA,bilingual,dominant,16,French,35,66,NA,0,NA,66,35,female,264,2.339441493330079,0.5105510904001933,11.567499999999999,5.459701064553417,8
Montreal,2,P61,switched,NA,bilingual,dominant,16,French,35,66,NA,0,NA,66,35,female,264,2.1853777737234474,0.7078745016364271,10.5625,5.5407935223344005,8
NewJersey,1,P62,single,1,bilingual,non-dominant,NA,Spanish,42,NA,58,NA,NA,58,42,female,352,2.0674886101685064,0.4602587583882372,8.706,4.837140684329949,5
NewJersey,1,P62,switched,1,bilingual,non-dominant,NA,Spanish,42,NA,58,NA,NA,58,42,female,352,1.8351894851530581,0.4794821094705965,6.98,4.19388244947328,5
NewJersey,2,P62,single,NA,bilingual,non-dominant,NA,Spanish,42,NA,58,NA,NA,58,42,female,352,1.3799049980995761,0.5661094193772935,4.4625,2.354462075860783,5
NewJersey,2,P62,switched,NA,bilingual,non-dominant,NA,Spanish,42,NA,58,NA,NA,58,42,female,352,1.9344428351337812,0.10723403480907441,6.952,0.7423745685299303,5
NewJersey,1,P63,single,1,bilingual,dominant,18,English,54,NA,46,NA,NA,54,46,male,381,1.9294902258873916,0.3675609345135203,7.308571428571429,2.8038748698389315,7
NewJersey,1,P63,switched,1,bilingual,dominant,18,English,54,NA,46,NA,NA,54,46,male,381,2.097796000875271,0.6279535179870835,9.535714285714286,5.485696118521505,7
Montreal,1,P64,single,1,bilingual,dominant,9,English,62,38,NA,0,NA,62,38,female,256,1.813823672096431,0.5930907551942612,7.352857142857143,5.793941416933481,7
Montreal,1,P64,switched,1,bilingual,dominant,9,English,62,38,NA,0,NA,62,38,female,256,2.0270790983756837,0.5913154843785534,8.792857142857143,5.025789205971251,7
Montreal,2,P64,single,NA,bilingual,dominant,9,English,62,38,NA,0,NA,62,38,female,256,1.4588470824633522,0.5362647617650457,4.8742857142857146,2.6580623089188933,7
